Date,Actual_Revenue,Forecast_Revenue,Calculated_10pct_Budget,Official_Annual_Budget
2022-02-01,1256771.4,,,
2022-03-01,1580290.4,,,
2022-04-01,1197330.5,,,
2022-05-01,1328354.5,,,
2022-06-01,1377730.3,,,
2022-07-01,1399233.5,,,
2022-08-01,1213289.3,,,
2022-09-01,1406160.3,,,
2022-10-01,1281962.2,,,
2022-11-01,1306543.5,,,
2022-12-01,1264696.9,,,
2023-01-01,1434506.6,,,
2023-02-01,1161789.1,,,
2023-03-01,1326835.5,,,
2023-04-01,1298059.1,,,
2023-05-01,1317456.4,,,
2023-06-01,1371412.9,,,
2023-07-01,1296723.5,,,
2023-08-01,1413865.8,,,
2023-09-01,1138983.5,,,
2023-10-01,1404053.9,,,
2023-11-01,1144419.8,,,
2023-12-01,1380821.6,,,
2024-01-01,1342392.5,,,
2024-02-01,1268284.5,,,
2024-03-01,1540521.2,,,
2024-04-01,1329155.4,,,
2024-05-01,1605950.2,,,
2024-06-01,1304220.0,,,
2024-07-01,1350163.8,,,
2024-08-01,1408341.4,,,
2024-09-01,1293785.0,,,
2024-10-01,1335824.4,,,
2024-11-01,1137384.4,,,
2024-12-01,1356763.7,,,
2025-01-01,1285604.1,,,
2025-02-01,1321749.2,,,
2025-03-01,1392125.3,,,
2025-04-01,1175479.6,,,
2025-05-01,1340795.1,,,
2025-06-01,1286488.1,,,
2025-07-01,1425142.8,,,
2025-08-01,1243558.2,,,
2025-09-01,1390965.2,,,
2025-10-01,1531005.4,,,
2025-11-01,1404739.2,,,
2025-12-01,1231809.2,,,
2026-01-01,1519061.6,,,
2026-02-01,1231782.8,,,
2026-01-01,,1266380.61,1393018.67,62700262.349999994
2026-02-01,,1301985.24,1432183.76,62700262.349999994
2026-03-01,,1371309.01,1508439.91,62700262.349999994
2026-04-01,,1157902.79,1273693.07,62700262.349999994
2026-05-01,,1320746.35,1452820.99,62700262.349999994
2026-06-01,,1267251.39,1393976.53,62700262.349999994
2026-07-01,,1403832.8,1544216.08,62700262.349999994
2026-08-01,,1224963.42,1347459.76,62700262.349999994
2026-09-01,,1370166.26,1507182.89,62700262.349999994
2026-10-01,,1508112.45,1658923.7,62700262.349999994
2026-11-01,,1383734.3,1522107.73,62700262.349999994
2026-12-01,,1213390.1,1334729.11,62700262.349999994
